entity_name,dba_name,street_number,street_name,city,zip_code,county,borough,square_footage,location
BALDE FAMILY GENERAL MERCHANDISING LLC,BALDE FAMILY GENERAL MERCHANDISING,756,BURKE AVENUE ##,BRONX,10467,BRONX,Bronx,,
ESTRELLA MEATS FRUITS & GROCERY 2 CORP,ESTRELLA MEATS FRUITS & GROCERY 2,350,E GUN HILL RD,BRONX,10467,BRONX,Bronx,1000,
ALEX CANDY STORE CORP,ALEX CANDY STORE,1373A,OGDEN AVE,BRONX,10452,BRONX,Bronx,,
BETWEEN THE BUN DELI 4 CORP,BETWEEN THE BUN DELI 4,439,E 162ND ST###,BRONX,10451,BRONX,Bronx,,
787 DELI GROCERY CORP,787 DELI GROCERY,787,EAST 185TH STREET ####,BRONX,10460,BRONX,Bronx,,
1000 MEAT AND FOOD CORP,SHOP FRESH FOOD MARKETPLACE,1000,MORRIS AVE,BRONX,10456,BRONX,Bronx,30000,
ROLLIE FOOD CORP,ROLLIE FOOD,3690,3RD AVE,BRONX,10456,BRONX,Bronx,,
SAAM DELI AND GROCERY CORP,SAAM DELI AND GROCERY,45,RICHMAN PLAZA,BRONX,10453,BRONX,Bronx,140000,
STOP 1 MINI MARKET & DELI INC,STOP 1 MINI MARKET & DELI,1360,E GUN HILL ROAD,BRONX,10469,BRONX,Bronx,,
DTJ 1727 CORP,ANTILLANA MARKET PLACE,1725,UNIVERSITY AVE,BRONX,10453,BRONX,Bronx,12000,
TREMONT FOOD MARKET INC,TREMONT FOOD MARKET,920,E TREMONT AVE,BRONX,10460,BRONX,Bronx,1000,
SANAA DISCOUNT INC,SANAA DISCOUNT,778,MORRIS PARK AVE,BRONX,10462,BRONX,Bronx,,
TOP DELI CONVENIENCE CORP,TOP DELI CONVENIENCE,4125,WHITE PLAINS RD,BRONX,10466,BRONX,Bronx,1000,
BELLA FE MARKET CORP,BELLA FE MARKET,571,E 184TH STREET ####,BRONX,10458,BRONX,Bronx,,
2750 FOOD CORP,ANTILLANA SUPERFOOD MARKETPLACE,2750,EAST TREMONT AVENUE,BRONX,10461,BRONX,Bronx,4,
GALINDO FARM INC,GALINDO FARM,4160,WHITE PLAINS ROAD,BRONX,10467,BRONX,Bronx,,
GREENLAND FARM DELI MART CORP,GREENLAND FARM DELI MART,5670,RIVERDALE,BRONX,10471,BRONX,Bronx,,
METRO D DELICATESSEN THE INC,METRO D DELICATESSEN THE,2231,GRAND CONCOURSE ####,BRONX,10453,BRONX,Bronx,2000,
ALLERTONN DELI MARKET CORPORATION,ALLERTONN DELI MARKET,1305,ALLERTON AVE,BRONX,10469,BRONX,Bronx,,
KRK BENDICION DELI GROCERY CORP,KRK BENDICION DELI GROCERY,1721,EAST 174TH STREET ####,BRONX,10472,BRONX,Bronx,1100,
BUUNNI COFFEE LLC,ROASTING ROOM THE,542,BARRETTO ST,BRONX,10474,BRONX,Bronx,5000,
JOSE MINI MARKET INC,JOSE MINI MARKET,549,SOUTHERN BLVD,BRONX,10455,BRONX,Bronx,,
E & Y DELI GROCERY CORP,E & Y DELI GROCERY,1312,JEROME AVE,BRONX,10452,BRONX,Bronx,1800,
1007 GOURMET DELI INC,1007 GOURMET DELI,1007,SOUTHERN BLVD,BRONX,10459,BRONX,Bronx,,
LUZ VEGETABLE FRUIT & GROCERY LLC,LUZ VEGETABLE MARKET,350A,EAST 204TH STREET ####,BRONX,10467,BRONX,Bronx,500,
FAITH SUPERMARKET CORP,CHERRY VALLEY MARKET PLACE,2852,WEBSTER AVENUE,BRONX,10458,BRONX,Bronx,,
LA FARMA LLC,A1 HEALTH PHARMACY,1003,OGDEN AVE,BRONX,10452,BRONX,Bronx,2000,
ONE KING DELI INC,ONE KING DELI,65,W KINGBRIDGE RD###,BRONX,10468,BRONX,Bronx,,
CASITA MARIA DELI CORP,CASITA MARIA DELI,1020-1022,EAST 163RD STREET,BRONX,10459,BRONX,Bronx,,
80 BRONX FINEST MARKET INC,80 BRONX FINEST MARKET,2109,SOUTHERN BLVD,BRONX,10460,BRONX,Bronx,1750,
QUALITY NY MEAT &FISH MRKT 2 CORP,QUALITY NY MEAT & FISH,3722,WHITE PLAINS RD,BRONX,10467,BRONX,Bronx,1200,
RANCH DELI CORP,RANCH DELI,3511,E TREMONT AVE,BRONX,10465,BRONX,Bronx,,
CIARAS DELI CORP,CIARAS DELI,89,W 170TH STREET,BRONX,10452,BRONX,Bronx,1800,
77 SWIPER DELI CORP,77 SWIPER DELI,2742,E TREMONT AVE,BRONX,10461,BRONX,Bronx,,
MUNCHIES DELI CORP,MUNCHIES DELI,500,BAYCHESTER AVE,BRONX,10475,BRONX,Bronx,,
4158 MEAT MARKET INC,4158 MEAT MARKET,4158,WHITE PLAINS RD,BRONX,10466,BRONX,Bronx,,
LA TIA DELI GROCERY INC,LA TIA DELI GROCERY,253,E 188TH STREET ####,BRONX,10458,BRONX,Bronx,900,
LAS 3S R DELI GROCERY CORP,LAS 3'S DELI GROCERY,1001,E 167TH ST,BRONX,10459,BRONX,Bronx,1000,
EL NAZARENO MEAT PRODUCT CORP,EL NAZARENO MEAT PRODUCT,152,E 171ST STREET,BRONX,10452,BRONX,Bronx,1200,
A1 GOURMET DELI INC,A1 GOURMET DELI,1800-02,CEDAR AVE,BRONX,10453,BRONX,Bronx,1100,
MUNCHN OUT FOOD & CONVENIENCE CORP,MUNCH'N OUT FOOD & CONVENIENCE,1215,GRAND CONCOURSE,BRONX,10452,BRONX,Bronx,900,
FRESH & TASTY SUSHI INC,FRESH & TASTY SUSHI,2870,WEBSTER AVE,BRONX,10458,BRONX,Bronx,,
