minute_of_day,hour,minute,entropy,n_observations
383,6,23,0.3815804883091629,34
384,6,24,0.3227569588973982,34
385,6,25,0.19143325481419343,34
386,6,26,0.19143325481419343,34
387,6,27,0.3815804883091629,34
388,6,28,0.3815804883091629,34
389,6,29,0.5115779700152473,34
390,6,30,0.5225593745369408,34
391,6,31,0.570401499427012,34
392,6,32,0.19143325481419343,34
393,6,33,0.3227569588973982,34
394,6,34,0.19143325481419343,34
395,6,35,0.19143325481419343,34
396,6,36,0.0,34
397,6,37,0.19143325481419343,34
398,6,38,0.19143325481419343,34
399,6,39,0.3227569588973982,34
400,6,40,0.3227569588973982,34
401,6,41,0.3227569588973982,34
402,6,42,0.6180038597674269,34
403,6,43,0.19143325481419343,34
404,6,44,0.3815804883091629,34
405,6,45,0.19143325481419343,34
406,6,46,0.5115779700152473,34
407,6,47,0.19143325481419343,34
408,6,48,0.5115779700152473,34
409,6,49,0.8040411835778964,34
410,6,50,0.5115779700152473,34
411,6,51,0.19143325481419343,34
412,6,52,0.3227569588973982,34
413,6,53,0.3227569588973982,34
414,6,54,0.19143325481419343,34
415,6,55,0.19143325481419343,34
416,6,56,0.19143325481419343,34
417,6,57,0.19143325481419343,34
418,6,58,0.19143325481419343,34
419,6,59,0.5115779700152473,34
420,7,0,0.570401499427012,34
421,7,1,0.5115779700152473,34
422,7,2,0.5115779700152473,34
423,7,3,0.19143325481419343,34
424,7,4,0.19143325481419343,34
425,7,5,0.19143325481419343,34
426,7,6,0.3227569588973982,34
427,7,7,0.3815804883091629,34
428,7,8,0.19143325481419343,34
429,7,9,0.3815804883091629,34
430,7,10,0.3815804883091629,34
431,7,11,0.19143325481419343,34
432,7,12,0.19143325481419343,34
433,7,13,0.19143325481419343,34
434,7,14,0.3815804883091629,34
435,7,15,0.6180038597674269,34
436,7,16,0.6180038597674269,34
437,7,17,0.3815804883091629,34
438,7,18,0.570401499427012,34
439,7,19,0.5115779700152473,34
440,7,20,0.8553529129344397,34
441,7,21,0.19143325481419343,34
442,7,22,0.3815804883091629,34
443,7,23,0.3815804883091629,34
444,7,24,0.19143325481419343,34
445,7,25,0.6180038597674269,34
446,7,26,0.6180038597674269,34
447,7,27,0.3815804883091629,34
448,7,28,0.19143325481419343,34
449,7,29,0.3815804883091629,34
450,7,30,0.6990299627722347,34
451,7,31,0.3815804883091629,34
452,7,32,0.3815804883091629,34
453,7,33,0.3815804883091629,34
454,7,34,0.5115779700152473,34
455,7,35,0.5115779700152473,34
456,7,36,0.3815804883091629,34
457,7,37,0.19143325481419343,34
458,7,38,0.3815804883091629,34
459,7,39,0.3815804883091629,34
460,7,40,0.7870046561900532,34
461,7,41,0.19143325481419343,34
462,7,42,0.19143325481419343,34
463,7,43,0.6180038597674269,34
464,7,44,0.5115779700152473,34
465,7,45,0.8040411835778964,34
466,7,46,0.4305518670104394,34
467,7,47,0.4305518670104394,34
468,7,48,0.3815804883091629,34
